name,last_name,first_name,display,position,proj
KEENANALLEN,ALLEN,KEENAN,Keenan Allen,WR,207.3373674545
TRAVISKELCE,KELCE,TRAVIS,Travis Kelce,TE,206.86039758254998
BONIX,NIX,BO,Bo Nix,QB,206.29541506500001
KENNETHWALKER,WALKER,KENNETH,Kenneth Walker III,RB,202.330071208
RUSSELLWILSON,WILSON,RUSSELL,Russell Wilson,QB,198.04519808999999
TERRYMCLAURIN,MCLAURIN,TERRY,Terry McLaurin,WR,196.69616075800002
DIONTAEJOHNSON,JOHNSON,DIONTAE,Diontae Johnson,WR,195.92503691849998
MARKANDREWS,ANDREWS,MARK,Mark Andrews,TE,195.894842974
JORDANADDISON,ADDISON,JORDAN,Jordan Addison,WR,195.12778201999998
AARONJONES,JONES,AARON,Aaron Jones,RB,192.66032552000001
JAYDENREED,REED,JAYDEN,Jayden Reed,WR,192.278873508
RHAMONDRESTEVENSON,STEVENSON,RHAMONDRE,Rhamondre Stevenson,RB,189.01028028700003
ROMEODUNZE,ODUNZE,ROME,Rome Odunze,WR,188.546832563
TREYMCBRIDE,MCBRIDE,TREY,Trey McBride,TE,186.318484602
JAMESCONNER,CONNER,JAMES,James Conner,RB,184.660143587
DANDRESWIFT,SWIFT,DANDRE,D'Andre Swift,RB,182.74590896300003
COURTLANDSUTTON,SUTTON,COURTLAND,Courtland Sutton,WR,182.623395376
DAVIDMONTGOMERY,MONTGOMERY,DAVID,David Montgomery,RB,182.579078755
XAVIERWORTHY,WORTHY,XAVIER,Xavier Worthy,WR,182.102643204
JAXONSMITHNJIGBA,SMITHNJIGBA,JAXON,Jaxon Smith-Njigba,WR,181.690977731
GEORGEKITTLE,KITTLE,GEORGE,George Kittle,TE,181.639942649
NAJEEHARRIS,HARRIS,NAJEE,Najee Harris,RB,181.437380682
CHRISTIANWATSON,WATSON,CHRISTIAN,Christian Watson,WR,180.63787820800002
DALTONKINCAID,KINCAID,DALTON,Dalton Kincaid,TE,178.599327989
JAYLENWARREN,WARREN,JAYLEN,Jaylen Warren,RB,178.213594768
ZAMIRWHITE,WHITE,ZAMIR,Zamir White,RB,177.57886706699998
JAVONTEWILLIAMS,WILLIAMS,JAVONTE,Javonte Williams,RB,177.389352682
LADDMCCONKEY,MCCONKEY,LADD,Ladd McConkey,WR,176.46772281
TONYPOLLARD,POLLARD,TONY,Tony Pollard,RB,175.43448695600003
DEVINSINGLETARY,SINGLETARY,DEVIN,Devin Singletary,RB,174.46196632099998
EVANENGRAM,ENGRAM,EVAN,Evan Engram,TE,174.17123568200003
KYLEPITTS,PITTS,KYLE,Kyle Pitts,TE,173.441610258
TYJAESPEARS,SPEARS,TYJAE,Tyjae Spears,RB,172.51193089199998
RAHEEMMOSTERT,MOSTERT,RAHEEM,Raheem Mostert,RB,172.060123512
BRIANROBINSON,ROBINSON,BRIAN,Brian Robinson,RB,171.188700948
JERRYJEUDY,JEUDY,JERRY,Jerry Jeudy,WR,171.12982652800002
BRIANTHOMAS,THOMAS,BRIAN,Brian Thomas Jr.,WR,170.09700820900002
TYLERLOCKETT,LOCKETT,TYLER,Tyler Lockett,WR,170.07370407000002
CURTISSAMUEL,SAMUEL,CURTIS,Curtis Samuel,WR,169.699080747
DAVIDNJOKU,NJOKU,DAVID,David Njoku,TE,167.680073417
GABEDAVIS,DAVIS,GABE,Gabe Davis,WR,167.41253531900003
AUSTINEKELER,EKELER,AUSTIN,Austin Ekeler,RB,167.34176983900002
JAKEFERGUSON,FERGUSON,JAKE,Jake Ferguson,TE,166.50716020299998
JAMESONWILLIAMS,WILLIAMS,JAMESON,Jameson Williams,WR,165.6999390805
ADAMTHIELEN,THIELEN,ADAM,Adam Thielen,WR,165.19144056200003
EZEKIELELLIOTT,ELLIOTT,EZEKIEL,Ezekiel Elliott,RB,164.561668697
JAKOBIMEYERS,MEYERS,JAKOBI,Jakobi Meyers,WR,163.9965416801
DEANDREHOPKINS,HOPKINS,DEANDRE,DeAndre Hopkins,WR,163.67780932300002
KEONCOLEMAN,COLEMAN,KEON,Keon Coleman,WR,163.650570486
MIKEWILLIAMS,WILLIAMS,MIKE,Mike Williams,WR,161.97174433799998
DEMARIODOUGLAS,DOUGLAS,DEMARIO,Demario Douglas,WR,160.8398184405
ZACKMOSS,MOSS,ZACK,Zack Moss,RB,160.553523512
DARNELLMOONEY,MOONEY,DARNELL,Darnell Mooney,WR,159.36599688150002
KHALILSHAKIR,SHAKIR,KHALIL,Khalil Shakir,WR,159.21176088599998
CHASEBROWN,BROWN,CHASE,Chase Brown,RB,157.746803931
DALLASGOEDERT,GOEDERT,DALLAS,Dallas Goedert,TE,157.723508412
RASHIDSHAHEED,SHAHEED,RASHID,Rashid Shaheed,WR,157.22117623499997
MARQUISEBROWN,BROWN,MARQUISE,Marquise Brown,WR,155.13413224049998
BROCKBOWERS,BOWERS,BROCK,Brock Bowers,TE,153.640464016
BRANDINCOOKS,COOKS,BRANDIN,Brandin Cooks,WR,153.307703521
JOSHPALMER,PALMER,JOSH,Josh Palmer,WR,153.129507568
JONATHONBROOKS,BROOKS,JONATHON,Jonathon Brooks,RB,152.96120428
ROMEODOUBS,DOUBS,ROMEO,Romeo Doubs,WR,152.70507847300001
GUSEDWARDS,EDWARDS,GUS,Gus Edwards,RB,151.474544887
GARDNERMINSHEW,MINSHEW,GARDNER,Gardner Minshew,QB,150.509592737
HARRISONBUTKER,BUTKER,HARRISON,Harrison Butker,K,148.7488488835
JUSTINTUCKER,TUCKER,JUSTIN,Justin Tucker,K,146.3701014515
BRANDONAUBREY,AUBREY,BRANDON,Brandon Aubrey,K,145.0869288215
DEMARCUSROBINSON,ROBINSON,DEMARCUS,Demarcus Robinson,WR,144.661873839
NICKCHUBB,CHUBB,NICK,Nick Chubb,RB,143.062806293
T.J.HOCKENSON,HOCKENSON,T.J.,T.J. Hockenson,TE,143.028653888
JALYNNPOLK,POLK,JALYNN,Ja'Lynn Polk,WR,142.12410781300002
EVANMCPHERSON,MCPHERSON,EVAN,Evan McPherson,K,141.8283166435
DALTONSCHULTZ,SCHULTZ,DALTON,Dalton Schultz,TE,140.52812838
WANDALEROBINSON,ROBINSON,WANDALE,Wan'Dale Robinson,WR,139.4411963805
YOUNGHOEKOO,KOO,YOUNGHOE,Younghoe Koo,K,139.0602952415
GREGZUERLEIN,ZUERLEIN,GREG,Greg Zuerlein,K,138.8194239855
KAIMIFAIRBAIRN,FAIRBAIRN,KAIMI,Ka'imi Fairbairn,K,138.1528642375
MIKEWILSON,WILSON,MIKE,Michael Wilson,WR,138.056695914
JAKEMOODY,MOODY,JAKE,Jake Moody,K,137.794398765
PATFREIERMUTH,FREIERMUTH,PAT,Pat Freiermuth,TE,137.78546342599998
CAMERONDICKER,DICKER,CAMERON,Cameron Dicker,K,137.62790688500002
XAVIERLEGETTE,LEGETTE,XAVIER,Xavier Legette,WR,137.59660295099997
JAKEELLIOTT,ELLIOTT,JAKE,Jake Elliott,K,136.816569348
ZACHCHARBONNET,CHARBONNET,ZACH,Zach Charbonnet,RB,136.799187183
RAVENS,RAVENS,RAVENS,Baltimore Ravens,DEF,136.507270436
JEROMEFORD,FORD,JEROME,Jerome Ford,RB,135.51553391299996
JOSHDOWNS,DOWNS,JOSH,Josh Downs,WR,135.295372614
ADONAIMITCHELL,MITCHELL,ADONAI,Adonai Mitchell,WR,135.138771279
JETS,JETS,JETS,New York Jets,DEF,135.0934280635
DUSTINHOPKINS,HOPKINS,DUSTIN,Dustin Hopkins,K,134.228586496
COWBOYS,COWBOYS,COWBOYS,Dallas Cowboys,DEF,134.00884577999997
BROWNS,BROWNS,BROWNS,Cleveland Browns,DEF,133.32199425
QUENTINJOHNSTON,JOHNSTON,QUENTIN,Quentin Johnston,WR,132.8968559605
DONTAYVIONWICKS,WICKS,DONTAYVION,Dontayvion Wicks,WR,132.611263722
MATTGAY,GAY,MATT,Matt Gay,K,131.8676614955
JASONSANDERS,SANDERS,JASON,Jason Sanders,K,131.861108384
49ERS,49ERS,49ERS,San Francisco 49ers,DEF,131.775120544
CAIROSANTOS,SANTOS,CAIRO,Cairo Santos,K,131.611004982
CHASEMCLAUGHLIN,MCLAUGHLIN,CHASE,Chase McLaughlin,K,131.44715744349998
TYLERBASS,BASS,TYLER,Tyler Bass,K,131.0777095895
COLEKMET,KMET,COLE,Cole Kmet,TE,131.07010647515
DANIELCARLSON,CARLSON,DANIEL,Daniel Carlson,K,130.8627631
JASONMYERS,MYERS,JASON,Jason Myers,K,130.841783481
CHUBAHUBBARD,HUBBARD,CHUBA,Chuba Hubbard,RB,130.74358337799998
NICKFOLK,FOLK,NICK,Nick Folk,K,130.68675586900002
JOSHKARTY,KARTY,JOSH,Joshua Karty,K,129.696566822
JAHANDOTSON,DOTSON,JAHAN,Jahan Dotson,WR,129.45325434
CHRISBOSWELL,BOSWELL,CHRIS,Chris Boswell,K,129.37075323099998
MATTPRATER,PRATER,MATT,Matt Prater,K,129.360726501
BLAKEGRUPE,GRUPE,BLAKE,Blake Grupe,K,128.8698205575
TYLERALLGEIER,ALLGEIER,TYLER,Tyler Allgeier,RB,127.706437342
STEELERS,STEELERS,STEELERS,Pittsburgh Steelers,DEF,127.46378410999998
