name,last_name,first_name,display,position,proj
JORDANADDISON,ADDISON,JORDAN,Jordan Addison,WR,200.9
JOEMIXON,MIXON,JOE,Joe Mixon,RB,199.8
AARONJONES,JONES,AARON,Aaron Jones,RB,197.2
MARKANDREWS,ANDREWS,MARK,Mark Andrews,TE,194.4
KENNETHWALKER,WALKER,KENNETH,Kenneth Walker III,RB,193.5
JAMESCONNER,CONNER,JAMES,James Conner,RB,191.8
TREYMCBRIDE,MCBRIDE,TREY,Trey McBride,TE,190.0
GEORGEKITTLE,KITTLE,GEORGE,George Kittle,TE,188.3
XAVIERWORTHY,WORTHY,XAVIER,Xavier Worthy,WR,188.0
DAVIDMONTGOMERY,MONTGOMERY,DAVID,David Montgomery,RB,187.3
NAJEEHARRIS,HARRIS,NAJEE,Najee Harris,RB,186.8
DALTONKINCAID,KINCAID,DALTON,Dalton Kincaid,TE,186.5
RHAMONDRESTEVENSON,STEVENSON,RHAMONDRE,Rhamondre Stevenson,RB,186.3
DANDRESWIFT,SWIFT,DANDRE,D'Andre Swift,RB,184.5
DIONTAEJOHNSON,JOHNSON,DIONTAE,Diontae Johnson,WR,183.0
DEVINSINGLETARY,SINGLETARY,DEVIN,Devin Singletary,RB,181.9
TONYPOLLARD,POLLARD,TONY,Tony Pollard,RB,180.8
JAYLENWARREN,WARREN,JAYLEN,Jaylen Warren,RB,179.8
LADDMCCONKEY,MCCONKEY,LADD,Ladd McConkey,WR,179.1
JAVONTEWILLIAMS,WILLIAMS,JAVONTE,Javonte Williams,RB,178.9
KYLEPITTS,PITTS,KYLE,Kyle Pitts,TE,177.9
COURTLANDSUTTON,SUTTON,COURTLAND,Courtland Sutton,WR,176.1
RAHEEMMOSTERT,MOSTERT,RAHEEM,Raheem Mostert,RB,174.5
GARDNERMINSHEW,MINSHEW,GARDNER,Gardner Minshew,QB,174.32
CURTISSAMUEL,SAMUEL,CURTIS,Curtis Samuel,WR,174.2
ZAMIRWHITE,WHITE,ZAMIR,Zamir White,RB,173.7
ZACKMOSS,MOSS,ZACK,Zack Moss,RB,172.9
TYJAESPEARS,SPEARS,TYJAE,Tyjae Spears,RB,171.6
JAXONSMITHNJIGBA,SMITHNJIGBA,JAXON,Jaxon Smith-Njigba,WR,170.8
MARQUISEBROWN,BROWN,MARQUISE,Marquise Brown,WR,170.6
CHRISTIANWATSON,WATSON,CHRISTIAN,Christian Watson,WR,170.1
DEANDREHOPKINS,HOPKINS,DEANDRE,DeAndre Hopkins,WR,169.5
JAMESONWILLIAMS,WILLIAMS,JAMESON,Jameson Williams,WR,169.4
TYLERLOCKETT,LOCKETT,TYLER,Tyler Lockett,WR,169.3
BRIANTHOMAS,THOMAS,BRIAN,Brian Thomas Jr.,WR,168.9
ROMEODOUBS,DOUBS,ROMEO,Romeo Doubs,WR,168.2
JOSHPALMER,PALMER,JOSH,Josh Palmer,WR,167.5
JAKEFERGUSON,FERGUSON,JAKE,Jake Ferguson,TE,167.1
JERRYJEUDY,JEUDY,JERRY,Jerry Jeudy,WR,166.0
EVANENGRAM,ENGRAM,EVAN,Evan Engram,TE,165.5
JONATHONBROOKS,BROOKS,JONATHON,Jonathon Brooks,RB,165.3
DAVIDNJOKU,NJOKU,DAVID,David Njoku,TE,165.1
AUSTINEKELER,EKELER,AUSTIN,Austin Ekeler,RB,164.6
GABEDAVIS,DAVIS,GABE,Gabe Davis,WR,164.3
BRIANROBINSON,ROBINSON,BRIAN,Brian Robinson,RB,164.1
KHALILSHAKIR,SHAKIR,KHALIL,Khalil Shakir,WR,164.1
BROCKBOWERS,BOWERS,BROCK,Brock Bowers,TE,163.3
DALLASGOEDERT,GOEDERT,DALLAS,Dallas Goedert,TE,163.2
GUSEDWARDS,EDWARDS,GUS,Gus Edwards,RB,159.9
ADAMTHIELEN,THIELEN,ADAM,Adam Thielen,WR,158.7
KEONCOLEMAN,COLEMAN,KEON,Keon Coleman,WR,158.4
DEMARIODOUGLAS,DOUGLAS,DEMARIO,Demario Douglas,WR,158.0
MIKEWILLIAMS,WILLIAMS,MIKE,Mike Williams,WR,156.7
CHASEBROWN,BROWN,CHASE,Chase Brown,RB,156.5
EZEKIELELLIOTT,ELLIOTT,EZEKIEL,Ezekiel Elliott,RB,156.2
RASHIDSHAHEED,SHAHEED,RASHID,Rashid Shaheed,WR,155.2
JAKOBIMEYERS,MEYERS,JAKOBI,Jakobi Meyers,WR,152.38
NICKCHUBB,CHUBB,NICK,Nick Chubb,RB,152.1
JOSHDOWNS,DOWNS,JOSH,Josh Downs,WR,151.0
BRANDINCOOKS,COOKS,BRANDIN,Brandin Cooks,WR,150.9
DALTONSCHULTZ,SCHULTZ,DALTON,Dalton Schultz,TE,149.0
WANDALEROBINSON,ROBINSON,WANDALE,Wan'Dale Robinson,WR,144.8
RICKYPEARSALL,PEARSALL,RICKY,Ricky Pearsall,WR,144.1
ROMANWILSON,WILSON,ROMAN,Roman Wilson,WR,144.1
T.J.HOCKENSON,HOCKENSON,T.J.,T.J. Hockenson,TE,143.8
JALYNNPOLK,POLK,JALYNN,Ja'Lynn Polk,WR,143.4
DARNELLMOONEY,MOONEY,DARNELL,Darnell Mooney,WR,143.0
XAVIERLEGETTE,LEGETTE,XAVIER,Xavier Legette,WR,140.2
ADONAIMITCHELL,MITCHELL,ADONAI,Adonai Mitchell,WR,140.1
JALENMCMILLAN,MCMILLAN,JALEN,Jalen McMillan,WR,139.5
DONTAYVIONWICKS,WICKS,DONTAYVION,Dontayvion Wicks,WR,137.5
JEROMEFORD,FORD,JEROME,Jerome Ford,RB,137.1
PATFREIERMUTH,FREIERMUTH,PAT,Pat Freiermuth,TE,136.7
MIKEWILSON,WILSON,MIKE,Michael Wilson,WR,136.7
ZACHCHARBONNET,CHARBONNET,ZACH,Zach Charbonnet,RB,136.5
HUNTERHENRY,HENRY,HUNTER,Hunter Henry,TE,136.5
DEMARCUSROBINSON,ROBINSON,DEMARCUS,Demarcus Robinson,WR,136.5
QUENTINJOHNSTON,JOHNSTON,QUENTIN,Quentin Johnston,WR,135.0
JAHANDOTSON,DOTSON,JAHAN,Jahan Dotson,WR,134.1
MALACHICORLEY,CORLEY,MALACHI,Malachi Corley,WR,130.3
GREGDORTCH,DORTCH,GREG,Greg Dortch,WR,129.5
LUKEMUSGRAVE,MUSGRAVE,LUKE,Luke Musgrave,TE,129.5
COLEKMET,KMET,COLE,Cole Kmet,TE,129.3
RASHODBATEMAN,BATEMAN,RASHOD,Rashod Bateman,WR,129.2
CHUBAHUBBARD,HUBBARD,CHUBA,Chuba Hubbard,RB,125.2
JERMAINEBURTON,BURTON,JERMAINE,Jermaine Burton,WR,124.6
CADEOTTON,OTTON,CADE,Cade Otton,TE,124.3
TREYBENSON,BENSON,TREY,Trey Benson,RB,118.7
NOAHFANT,FANT,NOAH,Noah Fant,TE,118.6
TAYSOMHILL,HILL,TAYSOM,Taysom Hill,TE,118.08
TYLERCONKLIN,CONKLIN,TYLER,Tyler Conklin,TE,115.9
MARVINMIMS,MIMS,MARVIN,Marvin Mims Jr.,WR,112.0
TYLERALLGEIER,ALLGEIER,TYLER,Tyler Allgeier,RB,111.9
TYCHANDLER,CHANDLER,TY,Ty Chandler,RB,111.6
DARIUSSLAYTON,SLAYTON,DARIUS,Darius Slayton,WR,111.5
TREYLONBURKS,BURKS,TREYLON,Treylon Burks,WR,111.3
ANTONIOGIBSON,GIBSON,ANTONIO,Antonio Gibson,RB,111.1
TYLERBOYD,BOYD,TYLER,Tyler Boyd,WR,111.0
BLAKECORUM,CORUM,BLAKE,Blake Corum,RB,111.0
RICODOWDLE,DOWDLE,RICO,Rico Dowdle,RB,109.6
DJCHARK,CHARK,DJ,DJ Chark,WR,109.1
JAVONBAKER,BAKER,JAVON,Javon Baker,WR,108.7
JALEELMCLAUGHLIN,MCLAUGHLIN,JALEEL,Jaleel McLaughlin,RB,108.3
LUKEMCCAFFREY,MCCAFFREY,LUKE,Luke McCaffrey,WR,108.2
KENDRICKBOURNE,BOURNE,KENDRICK,Kendrick Bourne,WR,107.5
JALENTOLBERT,TOLBERT,JALEN,Jalen Tolbert,WR,105.2
TIMPATRICK,PATRICK,TIM,Tim Patrick,WR,103.6
JONATHANMINGO,MINGO,JONATHAN,Jonathan Mingo,WR,102.7
JAUANJENNINGS,JENNINGS,JAUAN,Jauan Jennings,WR,101.2
ZAYJONES,JONES,ZAY,Zay Jones,WR,99.7
CHIGOKONKWO,OKONKWO,CHIG,Chig Okonkwo,TE,99.1
ELIJAHMOORE,MOORE,ELIJAH,Elijah Moore,WR,99.0
RAYRAYMCCLOUD,MCCLOUD,RAYRAY,Ray-Ray McCloud,WR,98.6
ANDREIIOSIVAS,IOSIVAS,ANDREI,Andrei Iosivas,WR,97.7
TRETUCKER,TUCKER,TRE,Tre Tucker,WR,96.6
ODELLBECKHAM,BECKHAM,ODELL,Odell Beckham Jr.,WR,95.0
K.J.OSBORN,OSBORN,K.J.,K.J. Osborn,WR,94.3
BENSINNOTT,SINNOTT,BEN,Ben Sinnott,TE,93.8
PARKERWASHINGTON,WASHINGTON,PARKER,Parker Washington,WR,93.8
TROYFRANKLIN,FRANKLIN,TROY,Troy Franklin,WR,91.9
ISAIAHLIKELY,LIKELY,ISAIAH,Isaiah Likely,TE,91.7
JONNUSMITH,SMITH,JONNU,Jonnu Smith,TE,90.4
DEVONTEZWALKER,WALKER,DEVONTEZ,Devontez Walker,WR,90.1
KENDREMILLER,MILLER,KENDRE,Kendre Miller,RB,89.6
COLBYPARKINSON,PARKINSON,COLBY,Colby Parkinson,TE,88.6
TUCKERKRAFT,KRAFT,TUCKER,Tucker Kraft,TE,87.5
J.K.DOBBINS,DOBBINS,J.K.,J.K. Dobbins,RB,86.6
JUWANJOHNSON,JOHNSON,JUWAN,Juwan Johnson,TE,85.9
JATAVIONSANDERS,SANDERS,JATAVION,Ja'Tavion Sanders,TE,85.5
KHALILHERBERT,HERBERT,KHALIL,Khalil Herbert,RB,82.3
JOSHREYNOLDS,REYNOLDS,JOSH,Josh Reynolds,WR,80.6
XAVIERGIPSON,GIPSON,XAVIER,Xavier Gipson,WR,80.4
ZACHERTZ,ERTZ,ZACH,Zach Ertz,TE,80.1
CALVINAUSTIN,AUSTIN,CALVIN,Calvin Austin III,WR,79.6
BRAELONALLEN,ALLEN,BRAELON,Braelon Allen,RB,79.5
JAMAALWILLIAMS,WILLIAMS,JAMAAL,Jamaal Williams,RB,79.4
GREGDULCICH,DULCICH,GREG,Greg Dulcich,TE,79.1
BUCKYIRVING,IRVING,BUCKY,Bucky Irving,RB,79.0
DAWSONKNOX,KNOX,DAWSON,Dawson Knox,TE,78.7
